facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,1,SEC00000001,Management and Leadership,TKVyNHVmxcC,1.1.1.1,5-HOSPITAL_1.1.1.1,SURV_HOSP_5-The organisation's governance structure is described in written documents and is known to the staff of the organisation.,1,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,XQxSlHkb68u,1.1.1.2,7-HOSPITAL_1.1.1.2,SURV_HOSP_7-There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation.,2,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,jDw4Dg4rBvg,1.1.1.3,9-HOSPITAL_1.1.1.3,SURV_HOSP_9-Those responsible for governance approve and make public the organisation's mission statement.,3,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,MsJxY5kypsD,1.1.1.4,11-HOSPITAL_1.1.1.4,SURV_HOSP_11-Those responsible for governance approve the managerial policies and plans to operate the organisation.,4,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,IA3aWk6JklG,1.1.1.5,13-HOSPITAL_1.1.1.5,SURV_HOSP_13-Those responsible for governance approve the budget and allocate resources required to meet the organisation's mission.,5,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,sWIoPPl3VOW,1.1.1.6,15-HOSPITAL_1.1.1.6,SURV_HOSP_15-Those responsible for governance appoint the organisation's senior manager(s) or director(s).,6,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,GFGLyyax2ux,1.1.1.7,17-HOSPITAL_1.1.1.7,SURV_HOSP_17-Those responsible for governance collaborate with the organisation's managers.,7,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,xINAvKnC9fD,1.1.1.8,19-HOSPITAL_1.1.1.8,SURV_HOSP_19-Those responsible for governance receive and act upon reports of the quality programme at least quarterly.,8,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,uvWd6u7uWJO,1.1.1.9,21-HOSPITAL_1.1.1.9,SURV_HOSP_21-Those responsible for governance receive and act upon reports on risk management at least quarterly.,9,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,xZsqedkvd70,1.1.1.10,23-HOSPITAL_1.1.1.10,SURV_HOSP_23-Those responsible for governance evaluate the performance of the organisation's senior manager at least annually.,10,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,se53O2dDOM5,1.2.1.1,28-HOSPITAL_1.2.1.1,"SURV_HOSP_28-The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description.",11,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,wcMOAttvRRT,1.2.1.2,30-HOSPITAL_1.2.1.2,SURV_HOSP_30-The senior manager has the education and experience to match the requirements in the position description.,12,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,QognJ4jSAEs,1.2.1.3,32-HOSPITAL_1.2.1.3,SURV_HOSP_32-The senior manager carries out approved policies for management functions.,13,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,v1FD6k1xm8a,1.2.1.4,34-HOSPITAL_1.2.1.4,SURV_HOSP_34-The senior manager assures compliance with applicable laws and regulations.,14,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,qGfC5QComL0,1.2.1.5,36-HOSPITAL_1.2.1.5,SURV_HOSP_36-The senior manager responds to any reports from inspecting and regulatory agencies.,15,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,fGZDNsCGJPi,1.2.2.1,40-HOSPITAL_1.2.2.1,"SURV_HOSP_40-The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community.",16,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,iCeFaunWCJu,1.2.2.2,42-HOSPITAL_1.2.2.2,"SURV_HOSP_42-The senior manager implements processes to manage and control human, financial and other resources.",17,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,SzPo2BqI8ja,1.2.2.3,44-HOSPITAL_1.2.2.3,"SURV_HOSP_44-The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services.",18,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,e6q78Ui0ZJl,1.2.2.4,46-HOSPITAL_1.2.2.4,SURV_HOSP_46-The senior manager ensures the implementation of risk management processes and activities.,19,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,y3nrsenVUOs,1.2.2.5,48-HOSPITAL_1.2.2.5,SURV_HOSP_48-The senior manager implements processes to monitor patient expectations and satisfaction.,20,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,JVmIlbQWtAD,1.2.2.6,50-HOSPITAL_1.2.2.6,SURV_HOSP_50-The senior manager implements processes to monitor staff expectations and satisfaction.,21,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,MkFAUFPTGdn,1.2.2.7,52-HOSPITAL_1.2.2.7,SURV_HOSP_52-The senior manager implements processes for quality management and improvement.,22,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,NElVlrdybVI,1.2.2.8,54-HOSPITAL_1.2.2.8,SURV_HOSP_54-The senior manager implements processes to monitor the quality of clinical and other services.,23,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,eMgEJRYkXQo,1.2.3.1,58-HOSPITAL_1.2.3.1,SURV_HOSP_58-The leaders of the organisation are formally identified.,24,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,yEuSr1wLDCk,1.2.3.2,60-HOSPITAL_1.2.3.2,SURV_HOSP_60-The leaders work collaboratively to develop and implement the strategic plan of the organisation.,25,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,q7VHWGGK8oZ,1.2.3.3,62-HOSPITAL_1.2.3.3,SURV_HOSP_62-The organisation's leaders meet with the leaders of other provider organisations in their community to develop and revise strategic and operational plans to meet the community needs.,26,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,IOUYsEJ4job,1.2.4.1,66-HOSPITAL_1.2.4.1,SURV_HOSP_66-The organisation has identified its target population.,27,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,la3fJDlQ0ed,1.2.4.2,68-HOSPITAL_1.2.4.2,SURV_HOSP_68-The organisation has implemented a communication strategy with these populations.,28,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,blRZNrnT0xm,1.2.4.3,70-HOSPITAL_1.2.4.3,SURV_HOSP_70-The organisation provides information on the quality of its services.,29,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,ahi7rmNMlZ8,1.2.5.1,74-HOSPITAL_1.2.5.1,SURV_HOSP_74-The organisation's leaders establish ethical and legal norms that protect patients and their rights.,30,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,LDWYvqULqBD,1.2.5.2,76-HOSPITAL_1.2.5.2,SURV_HOSP_76-The organisation discloses its ownership.,31,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,kOzzgEQ0CSr,1.2.5.3,78-HOSPITAL_1.2.5.3,SURV_HOSP_78-The organisation honestly portrays its services to patients.,32,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,HQ1n3FpRuAf,1.2.5.4,80-HOSPITAL_1.2.5.4,"SURV_HOSP_80-The organisation provides clear admission, treatment, transfer and discharge policies.",33,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,Nm2vwOAOD9F,1.2.5.5,82-HOSPITAL_1.2.5.5,SURV_HOSP_82-The organisation accurately bills for services.,34,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,eBrvS1UBpSN,1.2.5.6,84-HOSPITAL_1.2.5.6,SURV_HOSP_84-The organisation has a committee or other mechanism to control all research undertaken within the organisation.,35,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,tZWbsiQDRj4,1.2.6.1,88-HOSPITAL_1.2.6.1,SURV_HOSP_88-The organisation's leaders ensure that policies and procedures guide and support the activities and management of the organisation.,36,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,AT19X8lDPyA,1.2.6.2,90-HOSPITAL_1.2.6.2,"SURV_HOSP_90-A designated manager is responsible for compiling and indexing policies and procedures and for ensuring their circulation, recall and review.",37,TRUE
HOSPITAL,1,SEC00000001,Management and Leadership,jPhOxs5biPT,1.2.6.3,92-HOSPITAL_1.2.6.3,SURV_HOSP_92-Policies and procedures are signed by persons authorised to do so.,38,TRUE
